id,Short Description,Data Format,group,Ideology,Geography,Clothing,Symbolic clothing,Role of food,Who for?,Incorporation,Nourishment,Type,Production,Brand,Cultural Association,Beverage,Worker Performance,Part of 'the people',Bad Manners,Immediacy,Gastropopulism,Location,Recorder,Interaction,Context,Platform,Distribution,start,Corbyn: 'for the many',Farage: cause/solution,Trump: money where mouth is,AOC: constituency,color,Individual Trend
P1,Sturgeon and AOC irn bru,Visual,AOC,Left,USA,Business casual,Health,Visually and discursively central,Self,Absent,Unhealthy,Soft drink,Convenience food,Established,Exogenous,Non-alcoholic,Absent,Present,Present,Present,Gastropopulism,Political event,Different party politician,Political actor(s),Political event,Twitter,Other social media,2021-11-10,NA,NA,NA,Absent,#E6A0C4,Absent
P45,grocery delivery covid [4 pics],Visual,AOC,Left,USA,Casual,Health,Visually and discursively central,Others,Absent,Moderate,Savoury,Convenience food,Community,Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Actor's represented community,Actor's team,Ordinary citizen(s),Pandemic,Instagram,Actor's social media,2020-04-11,NA,NA,NA,Present,#7294D4,Present
P46,"vid51 1st pic waiting on a table, 1/10 NYCers work in restaurant industry, 1/2 Americans work in hospitality at some point in their lives",Visual,AOC,Left,USA,Casual,Absent,Visually and discursively central,Others,Absent,Unhealthy,Alcohol,Drink vendor,Independent,Endogenous,Alcoholic,Present,Present,Present,Present,Gastropopulism,Actor's workplace,Actor's team,Food service employee(s),Press event,Instagram,Actor's social media,2019-06-01,NA,NA,NA,Present,#7294D4,Present
P47,selfie with neighbourhood residents and milkshake,Visual,AOC,Left,USA,Business formal,Absent,Peripheral,Self,Implied,Unhealthy,Soft drink,Drink vendor,Unknown,Endogenous,Non-alcoholic,Absent,Present,Present,Present,Gastropopulism,Actor's represented community,Actor's team,Ordinary citizen(s),Campaign,Instagram,Actor's social media,2018-08-29,NA,NA,NA,Present,#7294D4,Present
P48,bodega dreams,Visual,AOC,Left,USA,Business casual,Absent,Visually and discursively central,Representing 'the people',Absent,Unhealthy,Variety,Convenience food,Independent,Regional Endogenous,Non-alcoholic,Absent,Present,Present,Present,Gastropopulism,Actor's represented community,Actor's team,Ordinary citizen(s),Campaign,Instagram,Actor's social media,2018-05-14,NA,NA,NA,Present,#7294D4,Present
P49,bodega eye contact,Visual,AOC,Left,USA,Business casual,Absent,Peripheral,Representing 'the people',Absent,Unhealthy,Variety,Convenience food,Independent,Regional Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Actor's represented community,Actor's team,Ordinary citizen(s),Campaign,Instagram,Actor's social media,2018-06-28,NA,NA,NA,Present,#7294D4,Present
P50,halloween sriracha - 7 pics 3 vids LAST VIDEO CODING,Visual,AOC,Left,USA,,,Visually central,Representing 'the people',Absent,Moderate,Savoury,Convenience food,Established,Exogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Actor's represented community,Actor's team,Ordinary citizen(s),Campaign,Instagram,Actor's social media,2022-10-31,NA,NA,NA,Present,#7294D4,Present
P56,AOC cake 3 pics [cutting cake in second],Visual,AOC,Left,USA,Casual,Absent,Visually and discursively central,Representing 'the people',Implied,Unhealthy,Sweet,Bespoke,Political,Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Actor's represented community,Actor's team,Ordinary citizen(s),Campaign,Instagram,Actor's social media,2018-02-03,NA,NA,NA,Present,#7294D4,Present
P57,grocery basket guilt,Visual,AOC,Left,USA,N/A,N/A,Visually and discursively central,Representing 'the people',Implied,Moderate,Savoury,Convenience food,Established,Endogenous,Non-alcoholic,Absent,Present,Present,Present,Gastropopulism,Food establishment,Self-recorded,Imagined digital audience,Other,Instagram,Actor's social media,2019-05-18,NA,NA,NA,Present,#7294D4,Present
P58,comfortland christmas local [food] businesses 3 pics,Visual,AOC,Left,USA,Casual,Health,Peripheral,Representing 'the people',Absent,Unhealthy,Sweet,Fast food,Independent,Endogenous,Alcoholic,Absent,Present,Present,Present,Gastropopulism,Actor's represented community,Actor's team,Ordinary citizen(s),Religious occasion,Instagram,Actor's social media,2020-12-14,NA,NA,NA,Present,#7294D4,Present
