id,Short Description,Data Format,Actor,Ideology,Geography,Clothing,Symbolic clothing,Role of food,Who for?,Incorporation,Nourishment,Type,Production,Brand,Cultural Association,Beverage,Worker Performance,Part of 'the people',Bad Manners,Immediacy,Gastropopulism,Location,Recorder,Interaction,Context,Platform,group,start,Corbyn: 'for the many',Farage: cause/solution,Trump: money where mouth is,AOC: constituency,color,Individual Trend
P4,cinco de mayo trump tower love hispanics,Visual,Trump,Right,USA,Business formal,Nation,Visually and discursively central,Self,Implied,Moderate,Savoury,Restaurant,Public self,Assimilated,No drink,Present,Present,Present,Present,Gastropopulism,Actor's workplace,Actor's team,No interaction,Cultural occasion,Instagram,Actor's social media,2016-05-05,NA,NA,Implied,NA,#C6CDF7,Implied
P5,"maccies ""1237"" ref delegates to get R nomination private jet",Visual,Trump,Right,USA,Business casual,Nation,Visually central,Self,Implied,Unhealthy,Savoury,Fast food,Established,Endogenous,Non-alcoholic,Absent,Present,Present,Present,Gastropopulism,Actor's private setting,Actor's team,No interaction,Campaign,Instagram,Actor's social media,2016-05-26,NA,NA,Implied,NA,#C6CDF7,Implied
P6,family meal restaurant,Visual,Trump,Right,USA,Business formal,Nation,Visually central,Shared,Implied,Moderate,Savoury,Restaurant,Unknown,Endogenous,No drink,Absent,Present,Absent,Present,Gastropopulism,Food establishment,Other,Friends/family,Campaign,Instagram,Actor's social media,2016-02-09,NA,NA,Absent,NA,#E6A0C4,Absent
P7,kfc on private jet,Visual,Trump,Right,USA,Business casual,Nation,Visually central,Self,Implied,Unhealthy,Savoury,Fast food,Established,Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Actor's private setting,Actor's team,No interaction,Campaign,Instagram,Actor's social media,2016-08-02,NA,NA,Implied,NA,#C6CDF7,Implied
P8,wawa campaign before plane,Visual,Trump,Right,USA,Business formal,Absent,Visually and discursively central,Self,Absent,Unhealthy,Savoury,Fast food,Established,Regional Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Food establishment,Actor's team,No interaction,Campaign,Instagram,Actor's social media,2016-11-01,NA,NA,Implied,NA,#C6CDF7,Implied
P9,"goya products, no caption",Visual,Trump,Right,USA,Business formal,Nation,Visually and discursively central,Representing 'the people',Absent,Healthy,Savoury,Convenience food,Established,Assimilated,No drink,Absent,Present,Present,Present,Gastropopulism,Actor's workplace,Actor's team,No interaction,Campaign,Instagram,Actor's social media,2020-07-15,NA,NA,Implied,NA,#C6CDF7,Implied
P10,philly cheesesteak,Visual,Trump,Right,USA,Business formal,Nation,Visually central,Self,Implied,Unhealthy,Savoury,Fast food,Unknown,Regional Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Actor's private setting,Actor's team,No interaction,Campaign,Instagram,Actor's social media,2020-09-16,NA,NA,Implied,NA,#C6CDF7,Implied
P51,maga cake - report donaldtrumpjr,Visual,Trump,Right,USA,Political message,Own slogan,Visually and discursively central,Others,Absent,Unhealthy,Sweet,Bespoke,Political,Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Other,,No interaction,Campaign,Instagram,Actor's social media,2016-09-28,NA,NA,Absent,NA,#E6A0C4,Absent
P52,Trump cream cake looking pained and 'freewheeling DT' caption,Visual,Trump,Right,USA,Business formal,Absent,Visually central,Others,Absent,Unhealthy,Sweet,Fast food,Independent,Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Food establishment,Actor's team,No interaction,Campaign,Instagram,Other social media,2023-03-15,NA,NA,Absent,NA,#E6A0C4,Absent
P53,zesto icecream post 1 [3 pics] also pics 54 & 55,Visual,Trump,Right,USA,Business formal,Nation,Peripheral,Self,Absent,Unhealthy,Sweet,Fast food,Established,Endogenous,Non-alcoholic,Absent,Present,Present,Present,Gastropopulism,Food establishment,Actor's team,Food service employee(s),Campaign,Instagram,Other social media,2023-01-29,NA,NA,Absent,NA,#E6A0C4,Absent
