id,Short Description,Data Format,group,Ideology,Geography,Clothing,Symbolic clothing,Role of food,Who for?,Incorporation,Nourishment,Type,Production,Brand,Cultural Association,Beverage,Worker Performance,Part of 'the people',Bad Manners,Immediacy,Gastropopulism,Location,Recorder,Interaction,Context,Platform,Distribution,start,Corbyn: 'for the many',Farage: cause/solution,Trump: money where mouth is,AOC: constituency,color,Individual Trend
P2,3 irn bru pics,Visual,Corbyn,Left,UK,Business casual,Absent,Visually and discursively central,Self,Implied,Unhealthy,Soft drink,Convenience food,Established,Regional Endogenous,Non-alcoholic,Absent,Present,Present,Present,Gastropopulism,Public transport,Same party politician,No interaction,Political event,Twitter,Other social media,2015-10-01,Pre slogan,NA,NA,NA,#D3D3D3,Pre-Slogan
P14,Sikh Gupurab,Visual,Corbyn,Left,UK,Business casual,Religion,Peripheral,Others,Absent,Moderate,Savoury,Canteen food,Community,Exogenous,No drink,Absent,Present,Absent,Absent,Gastropopulism,Place of Worship,Actor's team,Ordinary citizen(s),Religious occasion,Instagram,Actor's social media,2019-11-12,Implied,NA,NA,NA,#C6CDF7,Implied
P15,"""delicious"" fish and chips whitby -- link to video",Visual,Corbyn,Left,UK,Business casual,Charity,Visually and discursively central,Self,Implied,Unhealthy,Savoury,Fast food,Independent,Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Outside,Actor's team,No interaction,Campaign,Instagram,Actor's social media,2019-12-01,Absent,NA,NA,NA,#E6A0C4,Absent
P16,"serving canteen food ""on the menu"" SERVING REAL CHANGE FOR THE MANY",Visual,Corbyn,Left,UK,Business casual,Working class,Visually and discursively central,Representing 'the people',Absent,Moderate,Savoury,Canteen food,Community,Endogenous,No drink,Present,Present,Present,Present,Gastropopulism,Food establishment,Actor's team,Food service employee(s),Campaign,Instagram,Actor's social media,2019-12-05,Present,NA,NA,NA,#7294D4,Present
P18,Bill Gates meeting aid and development,Visual,Corbyn,Left,UK,Business casual,Absent,Peripheral,Shared,Implied,Healthy,Savoury,Convenience food,Unknown,N/A,Non-alcoholic,Absent,Present,Present,Present,Gastropopulism,Actor's workplace,Actor's team,Corporate actor(s),Political event,Instagram,Actor's social media,2019-01-24,Absent,NA,NA,NA,#E6A0C4,Absent
P19,one of the best veggie curries -- being served,Visual,Corbyn,Left,UK,Business casual,Absent,Visually and discursively central,Self,Implied,Moderate,Savoury,Restaurant,Independent,Assimilated,Non-alcoholic,Absent,Present,Present,Present,Gastropopulism,Food establishment,Actor's team,Food service employee(s),Personal life,Instagram,Actor's social media,2019-01-25,Absent,NA,NA,NA,#E6A0C4,Absent
P20,"Edinburgh poverty volunteers sharing lunch, unposed",Visual,Corbyn,Left,UK,Business casual,Party,Peripheral,Shared,Implied,Moderate,Savoury,Canteen food,Community,N/A,Non-alcoholic,Absent,Present,Absent,Present,Gastropopulism,Community event,Actor's team,Ordinary citizen(s),Charity,Instagram,Actor's social media,2018-12-16,Present,NA,NA,NA,#7294D4,Present
P21,double post - Barry behind the bar,Visual,Corbyn,Left,UK,Business casual,Absent,Visually and discursively central,Others,Absent,Unhealthy,Alcohol,Drink vendor,Independent,Endogenous,Alcoholic,Present,Present,Present,Present,Gastropopulism,Pub or bar,Actor's team,In-person audience,Campaign,Instagram,Actor's social media,2019-12-07,Absent,NA,NA,NA,#E6A0C4,Absent
P22,double post - Barry behind the bar,Visual,Corbyn,Left,UK,Business casual,Absent,Visually central,Representing 'the people',Absent,Unhealthy,Alcohol,Drink vendor,Independent,Endogenous,Alcoholic,Present,Present,Present,Present,Gastropopulism,Pub or bar,Actor's team,In-person audience,Campaign,Instagram,Actor's social media,2019-12-08,Absent,NA,NA,NA,#E6A0C4,Absent
P23,community food gardening Macclesfield,Visual,Corbyn,Left,UK,Business casual,Absent,Visually and discursively central,Others,Absent,Healthy,Fresh,Unprocessed,Community,Endogenous,No drink,Absent,Present,Absent,Present,Gastropopulism,Community event,Actor's team,Ordinary citizen(s),Press event,Instagram,Actor's social media,2019-07-04,Implied,NA,NA,NA,#C6CDF7,Implied
