id,Short Description,Data Format,group,Ideology,Geography,Clothing,Symbolic clothing,Role of food,Who for?,Incorporation,Nourishment,Type,Production,Brand,Cultural Association,Beverage,Worker Performance,Part of 'the people',Bad Manners,Immediacy,Gastropopulism,Location,Recorder,Interaction,Context,Platform,Distribution,start,Corbyn: 'for the many',Farage: cause/solution,Trump: money where mouth is,AOC: constituency,color,Individual Trend
P62,Donald Trump and Farage 53 bday cake,Visual,Farage,Right,UK,Business formal,Absent,Visually and discursively central,Representing 'the people',Absent,Unhealthy,Sweet,Bespoke,Public self,N/A,No drink,Absent,Present,Present,Present,Gastropopulism,Actor's home,,No interaction,Personal life,Instagram,Actor's social media,2017-04-03,NA,Implied,NA,NA,#C6CDF7,Implied
P63,Happy birthday Mr Brexit' cake,Visual,Farage,Right,UK,Business formal,Absent,Visually and discursively central,Representing 'the people',Absent,Unhealthy,Sweet,Bespoke,Public self,N/A,,Absent,Present,Present,Present,Gastropopulism,Food establishment,,No interaction,Personal life,Instagram,Actor's social media,2018-04-03,NA,Implied,NA,NA,#C6CDF7,Implied
P64,England flag pizza in London restaurant inclusionaryish,Visual,Farage,Right,UK,Business formal,Nation,Visually and discursively central,Representing 'the people',Absent,Unhealthy,Savoury,Restaurant,Public self,Exogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Food establishment,,Food service employee(s),Personal life,Instagram,Actor's social media,2021-07-11,NA,Present,NA,NA,#7294D4,Present
P65,Brexit sauce ice cream,Visual,Farage,Right,UK,Business formal,Party,Visually and discursively central,Representing 'the people',Implied,Unhealthy,Sweet,Convenience food,Political,N/A,No drink,Absent,Present,Present,Present,Gastropopulism,Food establishment,Actor's team,No interaction,Campaign,Instagram,Actor's social media,2019-05-18,NA,Present,NA,NA,#7294D4,Present
P66,holding up strawberry,Visual,Farage,Right,UK,Casual,Absent,Visually central,Shared,Implied,Healthy,Fresh,Unprocessed,Farmers,Endogenous,No drink,Absent,Present,Absent,Present,Gastropopulism,Actor's home,,No interaction,Personal life,Instagram,Actor's social media,2020-06-07,NA,Absent,NA,NA,#E6A0C4,Absent
P67,flatcap jams INSTA - BFD for nigel,Visual,Farage,Right,UK,Business casual,Working class,Visually central,Representing 'the people',Absent,Unhealthy,Sweet,Convenience food,Unknown,Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Food establishment,Actor's team,No interaction,Campaign,Instagram,Actor's social media,2019-11-06,NA,Absent,NA,NA,#E6A0C4,Absent
P68,fish and chips INSTA - BFD,Visual,Farage,Right,UK,Business casual,Absent,Visually and discursively central,Shared,Implied,Unhealthy,Savoury,Fast food,Independent,Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Food establishment,Actor's team,Political actor(s),Campaign,Instagram,Actor's social media,2019-11-06,NA,Absent,NA,NA,#E6A0C4,Absent
P69,sweet shop shutterstock - 3 pics. BFD,Visual,Farage,Right,UK,Business casual,Working class,Visually and discursively central,Representing 'the people',Absent,Unhealthy,Sweet,Convenience food,Independent,Endogenous,No drink,Present,Present,Present,Present,Gastropopulism,Food establishment,News organisation,No interaction,Campaign,Other,Mass media organisation,2019-11-06,NA,Absent,NA,NA,#E6A0C4,Absent
P70,"shutterstock - BFD, DIFFERENT CHIPPY!! same shirt/tie, same day posted, different background/person. 7 pics",Visual,Farage,Right,UK,Business casual,Working class,Visually and discursively central,Self,Present,Unhealthy,Savoury,Fast food,Independent,Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Food establishment,News organisation,No interaction,Campaign,Other,Mass media organisation,2019-11-06,NA,Absent,NA,NA,#E6A0C4,Absent
P71,kippers for breakfast - cafe,Visual,Farage,Right,UK,N/A,N/A,Visually and discursively central,Self,Absent,Moderate,Savoury,Restaurant,Unknown,Endogenous,Non-alcoholic,Absent,Present,Present,Present,Gastropopulism,Food establishment,Self-recorded,No interaction,Personal life,Instagram,Actor's social media,2018-10-20,NA,Absent,NA,NA,#E6A0C4,Absent
P72,grilling self-caught mackrel,Visual,Farage,Right,UK,Business casual,Working class,Visually and discursively central,Shared,Absent,Healthy,Fresh,Unprocessed,Personal self,Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Actor's private setting,Actor's team,No interaction,Personal life,Instagram,Actor's social media,2022-07-12,NA,Absent,NA,NA,#E6A0C4,Absent
P73,"depressed over brexit, went fishing' big smile, shark?",Visual,Farage,Right,UK,Casual,Absent,Visually and discursively central,Representing 'the people',Absent,Healthy,Fresh,Unprocessed,Personal self,Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,,,No interaction,Personal life,Instagram,Actor's social media,2018-07-07,NA,Present,NA,NA,#7294D4,Present
P74,JRM talking pints cheers coffee,Visual,Farage,Right,UK,Business formal,Absent,Visually central,Representing 'the people',Implied,Moderate,Hot drink,Drink vendor,Public self,Endogenous,Non-alcoholic,Absent,Present,Present,Present,Gastropopulism,Actor's workplace,Actor's team,Political actor(s),Interview,Instagram,Actor's social media,2021-08-17,NA,Present,NA,NA,#7294D4,Present
P75,enjoying a coffee before bbc sunday politics,Visual,Farage,Right,UK,Business formal,Absent,Visually and discursively central,Self,Implied,Moderate,Hot drink,Drink vendor,Unknown,Assimilated,Non-alcoholic,Absent,Present,Present,Present,Gastropopulism,Television studio,Actor's team,No interaction,Campaign,Instagram,Actor's social media,2017-03-12,NA,Implied,NA,NA,#C6CDF7,Implied
P76,farage gin picture,Visual,Farage,Right,UK,Business casual,Absent,Visually and discursively central,Self,Implied,Unhealthy,Alcohol,Drink vendor,Public self,Assimilated,Alcoholic,Absent,Present,Present,Present,Gastropopulism,Outside,Actor's team,No interaction,Personal life,Instagram,Actor's social media,2020-04-20,NA,Implied,NA,NA,#C6CDF7,Implied
P77,"farage cocktail shaker 2 pics, 1st relevant AOC link",Visual,Farage,Right,UK,Business formal,Party,Visually and discursively central,Shared,Absent,Unhealthy,Alcohol,Drink vendor,Independent,N/A,Alcoholic,Present,Present,Present,Present,Gastropopulism,Food establishment,Actor's team,Celebrity,Personal life,Instagram,Actor's social media,2018-01-23,NA,Absent,NA,NA,#E6A0C4,Absent
P78,Brexit blues with a bottle of Trump [mini bottle lol],Visual,Farage,Right,UK,Business casual,Absent,Visually and discursively central,Representing 'the people',Implied,Unhealthy,Alcohol,Drink vendor,Political,Exogenous,Alcoholic,Absent,Present,Present,Present,Gastropopulism,,,No interaction,,Instagram,Actor's social media,2017-06-10,NA,Present,NA,NA,#7294D4,Present
